AmenityCrosswalkValue,EntityCode
Survey|20180508|1|00106|PickleballCourts|1,00106
Survey|20180508|1|02280|PickleballCourts|1,02280
Survey|20180508|1|00164|PickleballCourts|1,00164
Survey|20180508|1|01588|PickleballCourts|1,01588
Survey|20180508|1|00112|GolfPracticeFacility|1,00112
Survey|20180508|1|01099|GolfPracticeFacility|1,01099
Survey|20180508|1|02662|GolfPracticeFacility|1,02662
Survey|20180508|1|00153|GolfPracticeFacility|1,00153
Survey|20180508|1|00103|GolfEvents|1,00103
Survey|20180508|1|01104|GolfEvents|1,01104
Survey|20180508|1|01475|GolfEvents|1,01475
Survey|20180508|1|02069|GolfEvents|1,02069
Survey|20180508|1|01075|GolfEvents|1,01075
Survey|20180508|1|01212|GolfEvents|1,01212
Survey|20180508|1|00375|GolfEvents|1,00375
Survey|20180508|1|00106|GolfEvents|1,00106
Survey|20180508|1|00541|GolfEvents|1,00541
Survey|20180508|1|02861|GolfEvents|1,02861
Survey|20180508|1|00002|GolfEvents|1,00002
Survey|20180508|1|01594|GolfEvents|1,01594
Survey|20180508|1|00238|GolfEvents|1,00238
Survey|20180508|1|02863|GolfEvents|1,02863
Survey|20180508|1|00715|GolfEvents|1,00715
Survey|20180508|1|02779|GolfEvents|1,02779
Survey|20180508|1|01595|GolfEvents|1,01595
Survey|20180508|1|00245|GolfEvents|1,00245
Survey|20180508|1|02834|GolfEvents|1,02834
Survey|20180508|1|03070|GolfEvents|1,03070
Survey|20180508|1|01401|FitnessCenter|1,01401
Survey|20180508|1|00996|FitnessCenter|1,00996
Survey|20180508|1|02748|FitnessCenter|1,02748
Survey|20180508|1|00157|FitnessCenter|1,00157
Survey|20180508|1|00110|FitnessCenter|1,00110
Survey|20180508|1|00685|FitnessCenter|1,00685
Survey|20180508|1|00118|FitnessCenter|1,00118
Survey|20180508|1|01056|FitnessCenter|1,01056
Survey|20180508|1|00448|FitnessCenter|1,00448
Survey|20180508|1|02702|FitnessCenter|1,02702
Survey|20180508|1|01054|FitnessCenter|1,01054
Survey|20180508|1|00116|FitnessCenter|1,00116
Survey|20180508|1|00192|GolfEvents|1,00192
Survey|20180508|1|03008|GolfEvents|1,03008
Survey|20180508|1|01598|GolfEvents|1,01598
Survey|20180508|1|00116|GolfEvents|1,00116
Survey|20180508|1|02284|GolfEvents|1,02284
Survey|20180508|1|01054|GolfEvents|1,01054
Survey|20180508|1|00979|GolfEvents|1,00979
Survey|20180508|1|01084|SteamRoom|1,01084
Survey|20180508|1|02771|TennisServices|1,02771
Survey|20180508|1|02879|TennisServices|1,02879
Survey|20180508|1|00100|SteamRoom|1,00100
Survey|20180508|1|03110|GolfEvents|1,03110
Survey|20180508|1|02855|CorporateEvents|1,02855
Survey|20180508|1|00514|CorporateEvents|1,00514
Survey|20180508|1|00238|CorporateEvents|1,00238
Survey|20180508|1|01191|CorporateEvents|1,01191
Survey|20180508|1|00685|CorporateEvents|1,00685
Survey|20180508|1|00110|CorporateEvents|1,00110
Survey|20180508|1|00103|CorporateEvents|1,00103
Survey|20180508|1|00507|CorporateEvents|1,00507
Survey|20180508|1|00164|CorporateEvents|1,00164
Survey|20180508|1|02604|CorporateEvents|1,02604
Survey|20180508|1|03008|CorporateEvents|1,03008
Survey|20180508|1|00745|CorporateEvents|1,00745
