Survey Column Name,Reltio Attribute,Type
Index,Index,
Status,Status,
Name,EC_Name,
Type,Type,
Parking Lot_Boolean,ValetParking.ParkingLot,
Covered Parking Lot_Boolean,ValetParking.Covered,
Garage_Boolean,ValetParking.Garage,
