Survey Column Name,Reltio Attribute,Type
Index,Index,
Status,Status,
Name,EC_Name,
Type,Type,
Parking Lot_Boolean,SelfParking.ParkingLot,
Covered Parking Lot_Boolean,SelfParking.Covered,
Garage_Boolean,SelfParking.Garage,
