Survey Column Name,Reltio Attribute,Type
Index,Index,
Status,Status,
Name,EC_Name,
Type,Type,
HrsOfOpeartion,HrsOfOperation,
Outdoor Pool_Boolean,Pool.Outdoor,
Indoor Pool_Boolean,Pool.Indoor,
Splash Pad_Boolean,Pool.Splash_Pad,
Waterslide_Boolean,Pool.Waterslide,
Baby Pool_Boolean,Pool.Baby_Pool,
Lazy River_Boolean,Pool.LazyRiver,
Water Park_Boolean,Pool.Water_Park,
AdultÂ Only Pool_Boolean,Pool.Adult_Only,
