Survey Column Name,Reltio Attribute ,Type
Index,Index,
Status,Status,
Name,EC_Name,
Type,Type,
Internet Service_Boolean,Business_Services.Internet_Service,
Wi-Fi_Boolean,Business_Services.Wifi,
Concierge Service_Boolean,Business_Services.Concierge_Services,
Admin Support_Boolean,Business_Services.Admin_Support,
Videoconfrencing_Boolean,Business_Services.Video_Conferencing,
